page_titles,url,scraped_date,avg_product_price
The 8 Best High-Efficiency Washers of 2021,https://www.thespruce.com/best-high-efficiency-washers-4153905,2021-12-27,1115.3333333333333
The 8 Best Front Load Washers of 2021,https://www.thespruce.com/best-front-load-washers-5025198,2021-12-27,1102.0
The 9 Best Round Dining Tables of 2022,https://www.thespruce.com/best-round-dining-tables-4783969,2021-12-27,1065.0
The 9 Best Firm Mattresses of 2021,https://www.thespruce.com/best-firm-mattresses-4150339,2021-12-27,1059.8
The 9 Best Lawn Mowers of 2021,https://www.thespruce.com/best-lawn-mowers-4843197,2021-12-27,1052.7222222222222
The 6 Best Robotic Pool Cleaners of 2021,https://www.thespruce.com/best-robotic-pool-cleaners-4682659,2021-12-27,1040.8333333333333
The 10 Best Washing Machines of 2021,https://www.thespruce.com/best-washing-machines-4107080,2021-12-27,1016.7
The Best Washer and Dryer Deals for January 2022,https://www.thespruce.com/best-washer-dryer-deals-5115009,2021-12-27,992.952380952381
The 7 Best Bosch Dishwashers of 2022,https://www.thespruce.com/best-bosch-dishwashers-4175571,2021-12-27,985.4285714285714
The 8 Best Mattresses of 2021,https://www.thespruce.com/best-mattresses-4781968,2021-12-27,979.6
The 7 Best Upright Freezers of 2021,https://www.thespruce.com/best-upright-freezers-4178347,2021-12-27,957.2857142857143
The 10 Best Beds of 2021,https://www.thespruce.com/best-beds-4150679,2021-12-27,941.8333333333334
The 8 Best Kegerators of 2021,https://www.thespruce.com/best-kegerators-4171985,2021-12-27,934.75
The 8 Best Electric Lawn Mowers of 2021,https://www.thespruce.com/best-electric-lawn-mowers-4175254,2021-12-27,931.2142857142857
The 8 Best Top Load Washers of 2021,https://www.thespruce.com/best-top-load-washers-4153901,2021-12-27,920.25
The 7 Best Mini Fridges of 2021,https://www.thespruce.com/best-mini-fridges-4151871,2021-12-27,918.8095238095239
The 6 Best Trash Compactors,https://www.thespruce.com/best-trash-compactors-4693378,2021-12-27,915.9333333333332
The 9 Best Foosball Tables of 2021,https://www.thespruce.com/best-foosball-tables-4682612,2021-12-27,914.6944444444445
The 8 Best Loft Beds of 2021,https://www.thespruce.com/best-loft-beds-4688992,2021-12-27,910.7857142857143
The 8 Best Clothes Dryers of 2021,https://www.thespruce.com/best-clothes-dryers-4109097,2021-12-27,906.2291666666666
The 8 Best Mattresses in a Box of 2021,https://www.thespruce.com/best-mattresses-in-a-box-4846354,2021-12-27,884.5
The 7 Best Whole House Water Filters of 2021,https://www.thespruce.com/best-home-water-filters-4159152,2021-12-27,881.047619047619
The 7 Best Beer Fridges of 2021,https://www.thespruce.com/best-beer-fridges-4172076,2021-12-27,875.3571428571429
The 7 Best Top-Freezer Refrigerators of 2021,https://www.thespruce.com/best-top-freezer-refrigerators-4175989,2021-12-27,861.3333333333333
The 5 Best Patio Dining Sets of 2021,https://www.thespruce.com/best-patio-dining-sets-4159107,2021-12-27,850.75
The 8 Best Outdoor Bar Tables of 2021,https://www.thespruce.com/best-outdoor-bar-sets-4846417,2021-12-27,842.7142857142857
The 9 Best Swing Sets of 2021,https://www.thespruce.com/best-wooden-swing-sets-3129287,2021-12-27,827.5925925925926
The 8 Best Latex Mattresses of 2021,https://www.thespruce.com/best-latex-mattresses-4176843,2021-12-27,823.0833333333334
