,page_titles,product_titles,product_ratings,product_prices,avg_product_price,url,scraped_date
0,The 6 Best Hot Tubs of 2021,Best Overall: Essential Hot Tubs 67-Jet Syracuse Hot Tub,,"[{'retailer': 'Amazon', 'price': '$8,199'}]",8199.0,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
1,The 6 Best Hot Tubs of 2021,Best Splurge: ThermoSpas 5-Person 57-Jet Hot Tub with LED Light and Ozone System,,"[{'retailer': 'Wayfair', 'price': '$13,900'}]",13900.0,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
2,The 6 Best Hot Tubs of 2021,Best Inflatable: Intex PureSpa Plus Bubble Massage Set,,"[{'retailer': 'Amazon', 'price': nan}, {'retailer': 'Walmart', 'price': '$450'}]",450.0,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
3,The 6 Best Hot Tubs of 2021,Best for Two People: AquaRest Spas Premium 300 2-Person 20-Jet Plug and Play Hot Tub with Stainless Steel Heater,,"[{'retailer': 'Wayfair', 'price': '$3,150'}]",3150.0,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
4,The 6 Best Hot Tubs of 2021,Best Saltwater: Hot Spring Highlife Envoy,,"[{'retailer': 'Hottubsbyhotspring.com', 'price': nan}, {'retailer': 'Sevenseaspools.com', 'price': nan}]",,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
5,The 6 Best Hot Tubs of 2021,Best Portable: Coleman 15442-BW SaluSpa 4 Person Portable Inflatable Outdoor Square Hot Tub,,"[{'retailer': 'Amazon', 'price': '$620'}]",620.0,https://www.thespruce.com/best-hot-tubs-4164002,2021-12-27
